a,b
f,1
s,0
f,1
s,-1
f,1
s,0
f,0
s,0
f,1
s,-1
f,0
s,0
f,-1
s,0
f,0
s,-1
f,1
s,-1
f,1
s,0
f,1
s,-1
f,1
s,-1
f,1
s,-1
f,0
s,0
f,0
s,-1
f,1
s,0
f,0
s,-1
f,0
s,-1
f,0
s,-1
f,1
s,-1
f,1
s,0
f,1
s,0
f,0
s,-1
f,0
s,0
f,0
s,0
f,1
s,-1
f,0
s,-1
f,0
s,-1
f,1
s,0
f,-1
s,-1
f,0
s,-1
f,0
s,0
f,1
s,-1
f,0
s,-1
f,1
s,0
f,0
s,-1
f,0
s,-1
f,1
s,0
f,0
s,0
f,1
s,-1
f,1
s,0
f,0
s,0
f,0
s,0
f,-1
s,0
f,1
s,-1
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,-1
f,1
s,0
f,0
s,0
f,0
s,0
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,-1
f,0
s,-1
f,1
s,0
f,1
s,0
f,1
s,0
f,0
s,0
f,0
s,0
f,0
s,-1
f,0
s,-1
f,1
s,-1
f,1
s,-1
f,0
s,-1
f,-1
s,0
f,1
s,-1
f,1
s,0
f,1
s,-1
f,0
s,-1
f,0
s,-1
f,1
s,-1
f,1
s,0
f,1
s,0
f,0
s,0
f,0
s,0
f,1
s,-1
f,1
s,0
f,1
s,-1
f,1
s,0
f,1
s,-1
f,0
s,0
f,1
s,0
f,0
s,-1
f,0
s,0
f,1
s,0
f,0
s,-1
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,0
f,1
s,-1
f,1
s,-1
f,1
s,-1
f,1
s,-1
f,1
s,-1
f,1
s,0
f,1
s,0
f,1
s,-1
f,0
s,-1
f,0
s,-1
f,0
s,-1
f,1
s,-1
f,1
s,0
f,-1
s,-1
f,1
s,0
f,1
s,0
f,1
s,-1
f,1
s,-1
f,0
s,0
f,0
s,-1
f,1
s,-1
f,1
s,0
f,1
s,0
f,1
s,0
f,0
s,-1
f,1
s,0
f,1
s,0
f,0
s,0
f,1
s,-1
f,1
s,0
f,1
s,0
f,1
s,-1
f,1
s,-1
f,1
s,0
f,1
s,0
f,1
s,0
f,0
s,0
f,0
s,0
f,1
s,0
f,1
